id	filename	md5	size	state
1dbae10a-b6cd-4371-afab-9bef716b8d97	TCGA-LP-A5U3-01Z-00-DX1.709B6010-A1E5-48DF-A994-40816B1825FC.svs	07802cbad5f325eb7f4c49490caca0d7	1130092968	released
dc93b1a8-958e-4832-b3d7-6bb290f00072	TCGA-EA-A5O9-01Z-00-DX1.9694E52A-60A4-4044-90B5-64C11460CAD2.svs	4841d7a1bd752a852d382f2cb82509df	892689355	released
ad8df338-9a29-4d48-9eeb-3e701c16fb48	TCGA-EX-A8YF-01Z-00-DX1.79A4FEAD-3D6A-4D15-BDA8-CD100A411302.svs	ef50ffe64b7201b164ba8c6bf28d3f39	1793588098	released
f5aacb82-df8a-4f0d-a6d2-0c66e41f89a6	TCGA-C5-A1M8-01Z-00-DX1.E4AA52E6-AC3E-406E-A8FC-66EAD770AA59.svs	a6efe83985b1cc02977c66aecee1a9a5	2307289096	released
bc5d40d2-2539-4e02-91c0-4e20df41246b	TCGA-LP-A5U2-01Z-00-DX1.5D32288C-4472-4B5A-B3F6-93D31A8E6E52.svs	9e3b8d24ffc0d3cedde165e9017ea0fc	3186093306	released
6f086685-0c6f-4efa-b115-799c7e18fdde	TCGA-C5-A1BF-01Z-00-DX1.293186DB-FB68-4C45-91FC-5C0A789B1D2D.svs	f92a959267dfcefba8548a572309a0cd	891440466	released
e4f0cc78-7022-4439-9e0a-ee04e3ac5711	TCGA-C5-A3HD-01Z-00-DX1.11EECACD-371A-4B16-A21A-8E2A2258D3A9.svs	413d0dc4115873410f7defcc773ae8a4	68939402	released
ef383dd4-a453-4683-bd30-7501faae9e24	TCGA-ZJ-AAX4-01Z-00-DX1.CD3F654C-40AB-4216-B35C-7CCD0BE34500.svs	2f16b27fe3f8dd172f03041f1fc83f3a	138659014	released
476dc459-9141-4a76-84de-a6b1cb5d85da	TCGA-VS-A8QF-01Z-00-DX1.D8DB41E0-8C0F-4394-A2A2-8721BE35644B.svs	90ac0aa56c9bc3f8bf6bc9307a511ac4	164406353	released
76833dd0-96fe-48a8-91de-d167dc297135	TCGA-C5-A1MJ-01Z-00-DX1.727E1B5B-6DBE-4D79-B8D9-0C6C9BFA3204.svs	530ac6bb9571cd9b5e885af38613503c	1518965908	released
