id	filename	md5	size	state
889789cf-b211-4788-b62e-1c6be4dba889	TCGA-VD-A8KD-01A-01-TS1.25C30E9E-485D-4435-88F0-F907D82A1105.svs	f96e694a89461252ff97715003734371	484353881	released
56cde591-ed75-40c6-a5ee-cfc6bfbb26ab	TCGA-YZ-A984-01A-01-TS1.8195084E-39C7-4309-A19E-8393A61E68B8.svs	2cab893732eed47fa1f62932be7cfd30	125541431	released
642f0f17-41ff-4b89-b382-d2d22db228bf	TCGA-VD-A8KF-01A-01-TS1.3F1ED7E1-6441-4748-A3E0-7C40A56B915F.svs	98b06a6ff442bc780048abe859e22d7f	285246493	released
5630717d-fb72-4d7e-924d-3bc1086ab551	TCGA-WC-A882-01A-01-TS1.40FC029D-0134-416F-9595-122A2D867963.svs	056b41ab0c0c80ef220c8c0aec368ce9	264917985	released
7526af79-80a4-4f28-8043-333b78e1c310	TCGA-V4-A9EX-01A-01-TS1.DBA178D8-CAAB-435F-B779-E4282187F253.svs	ac8070fe8842e483c38296dfc32ea861	279794417	released
2e8945dd-2ff4-44e0-bb5c-e355cc83dc37	TCGA-V4-A9EQ-01A-01-TS1.C944442D-2A83-421E-8D90-84A45BCF690B.svs	b8412fd54fa9fbd7e78c6b0e4392b5a2	132708605	released
129aafa0-c26c-4c5e-b616-bd0540cbd02b	TCGA-WC-A884-01A-01-TS1.365BB01E-F492-4A5B-B353-783AABE3A41A.svs	361599b25cca197c4b8bbf8786fc6c6c	71085377	released
1fd50254-672d-4eb8-ad51-8cfbc921de81	TCGA-VD-A8KK-01A-01-TS1.A7CF01E4-5F09-41D5-B09C-BD6250B565D3.svs	bd3130625a0fee166c545f0705569b75	243619815	released
707ac380-596a-4018-a4ff-3f096017aaa8	TCGA-VD-A8KL-01A-01-TS1.E85C7379-0956-49ED-9D58-1D36A80ADAAA.svs	c9ab331ba10eda69746b5a33e49bbb35	233407865	released
392a8b7f-072c-462d-b61b-f47ef05e1fb2	TCGA-V4-A9F5-01A-01-TS1.70123DF0-D3BD-4681-ABCF-FCBE8A5C9091.svs	09a13b34a971e91a13c0a135d28cd3ab	336943613	released
